isco08,isco08_name,digits_level
1,Managers,1
2,Professionals,1
3,Technicians and Associate Professionals,1
4,Clerical Support Workers,1
5,Services and Sales Workers,1
6,"Skilled Agricultural, Forestry and Fishery Workers",1
7,Craft and Related Trades Workers,1
8,Plant and Machine Operators and Assemblers,1
9,Elementary Occupations,1
0,Armed Forces Occupations,1
11,"Chief Executives, Senior Officials and Legislators",2
12,Administrative and Commercial Managers,2
13,Production and Specialized Services Managers,2
14,"Hospitality, Retail and Other Services Managers",2
21,Science and Engineering Professionals,2
22,Health Professionals,2
23,Teaching Professionals,2
24,Business and Administration Professionals,2
25,Information and Communications Technology Professionals,2
26,"Legal, Social and Cultural Professionals",2
31,Science and Engineering Associate Professionals,2
32,Health Associate Professionals,2
33,Business and Administration Associate Professionals,2
34,"Legal, Social, Cultural and Related Associate Professionals",2
35,Information and Communications Technicians,2
41,General and Keyboard Clerks,2
42,Customer Services Clerks,2
43,Numerical and Material Recording Clerks,2
44,Other Clerical Support Workers,2
51,Personal Services Workers,2
52,Sales Workers,2
53,Personal Care Workers,2
54,Protective Services Workers,2
61,Market-oriented Skilled Agricultural Workers,2
62,"Market-oriented Skilled Forestry, Fishery and Hunting Workers",2
63,"Subsistence Farmers, Fishers, Hunters and Gatherers",2
71,Building and Related Trades Workers (excluding Electricians),2
72,"Metal, Machinery and Related Trades Workers",2
73,Handicraft and Printing Workers,2
74,Electrical and Electronic Trades Workers,2
75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",2
81,Stationary Plant and Machine Operators,2
82,Assemblers,2
83,Drivers and Mobile Plant Operators,2
91,Cleaners and Helpers,2
92,"Agricultural, Forestry and Fishery Labourers",2
93,"Labourers in Mining, Construction, Manufacturing and Transport",2
94,Food Preparation Assistants,2
95,Street and Related Sales and Services Workers,2
96,Refuse Workers and Other Elementary Workers,2
01,Commissioned Armed Forces Officers,2
02,Non-commissioned Armed Forces Officers,2
03,"Armed Forces Occupations, Other Ranks",2
111,Legislators and Senior Officials,3
112,Managing Directors and Chief Executives,3
121,Business Services and Administration Managers,3
122,"Sales, Marketing and Development Managers",3
131,"Production Managers in Agriculture, Forestry and Fisheries",3
132,"Manufacturing, Mining, Construction and Distribution Managers",3
133,Information and Communications Technology Services Managers,3
134,Professional Services Managers,3
141,Hotel and Restaurant Managers,3
142,Retail and Wholesale Trade Managers,3
143,Other Services Managers,3
211,Physical and Earth Science Professionals,3
212,"Mathematicians, Actuaries and Statisticians",3
213,Life Science Professionals,3
214,Engineering Professionals (excluding Electrotechnology),3
215,Electrotechnology Engineers,3
216,"Architects, Planners, Surveyors and Designers",3
221,Medical Doctors,3
222,Nursing and Midwifery Professionals,3
223,Traditional and Complementary Medicine Professionals,3
224,Paramedical Practitioners,3
225,Veterinarians,3
226,Other Health Professionals,3
231,University and Higher Education Teachers,3
232,Vocational Education Teachers,3
233,Secondary Education Teachers,3
234,Primary School and Early Childhood Teachers,3
235,Other Teaching Professionals,3
241,Finance Professionals,3
242,Administration Professionals,3
243,"Sales, Marketing and Public Relations Professionals",3
251,Software and Applications Developers and Analysts,3
252,Database and Network Professionals,3
261,Legal Professionals,3
262,"Librarians, Archivists and Curators",3
263,Social and Religious Professionals,3
264,"Authors, Journalists and Linguists",3
265,Creative and Performing Artists,3
311,Physical and Engineering Science Technicians,3
312,"Mining, Manufacturing and Construction Supervisors",3
313,Process Control Technicians,3
314,Life Science Technicians and Related Associate Professionals,3
315,Ship and Aircraft Controllers and Technicians,3
321,Medical and Pharmaceutical Technicians,3
322,Nursing and Midwifery Associate Professionals,3
323,Traditional and Complementary Medicine Associate Professionals,3
324,Veterinary Technicians and Assistants,3
325,Other Health Associate Professionals,3
331,Financial and Mathematical Associate Professionals,3
332,Sales and Purchasing Agents and Brokers,3
333,Business Services Agents,3
334,Administrative and Specialized Secretaries,3
335,Government regulatory associate professionals,3
341,"Legal, Social and Religious Associate Professionals",3
342,Sports and Fitness Workers,3
343,"Artistic, Cultural and Culinary Associate Professionals",3
351,Information and Communications Technology Operations and User Support Technicians,3
352,Telecommunications and Broadcasting Technicians,3
411,General Office Clerks,3
412,Secretaries (general),3
413,Keyboard Operators,3
421,"Tellers, Money Collectors and Related Clerks",3
422,Client Information Workers,3
431,Numerical Clerks,3
432,Material recording and Transport Clerks,3
441,Other Clerical Support Workers,3
511,"Travel Attendants, Conductors and Guides",3
512,Cooks,3
513,Waiters and Bartenders,3
514,"Hairdressers, Beauticians and Related Workers",3
515,Building and Housekeeping Supervisors,3
516,Other Personal Services Workers,3
521,Street and Market Salespersons,3
522,Shop Salespersons,3
523,Cashiers and Ticket Clerks,3
524,Other Sales Workers,3
531,Child Care Workers and Teachers’ Aides,3
532,Personal Care Workers in Health Services,3
541,Protective Services Workers,3
611,Market Gardeners and Crop Growers,3
612,Animal Producers,3
613,Mixed Crop and Animal Producers,3
621,Forestry and Related Workers,3
622,"Fishery Workers, Hunters and Trappers",3
631,Subsistence Crop Farmers,3
632,Subsistence Livestock Farmers,3
633,Subsistence Mixed Crop and Livestock Farmers,3
634,"Subsistence Fishers, Hunters, Trappers and Gatherers",3
711,Building Frame and Related Trades Workers,3
712,Building Finishers and Related Trades Workers,3
713,"Painters, Building Structure Cleaners and Related Trades Workers",3
721,"Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers",3
722,"Blacksmiths, Toolmakers and Related Trades Workers",3
723,Machinery Mechanics and Repairers,3
731,Handicraft Workers,3
732,Printing Trades Workers,3
741,Electrical Equipment Installers and Repairers,3
742,Electronics and Telecommunications Installers and Repairers,3
751,Food Processing and Related Trades Workers,3
752,"Wood Treaters, Cabinet-makers and Related Trades Workers",3
753,Garment and Related Trades Workers,3
754,Other Craft and Related Workers,3
811,Mining and Mineral Processing Plant Operators,3
812,Metal Processing and Finishing Plant Operators,3
813,Chemical and Photographic Products Plant and Machine Operators,3
814,"Rubber, Plastic and Paper Products Machine Operators",3
815,"Textile, Fur and Leather Products Machine Operators",3
816,Food and Related Products Machine Operators,3
817,Wood Processing and Papermaking Plant Operators,3
818,Other Stationary Plant and Machine Operators,3
821,Assemblers,3
831,Locomotive Engine Drivers and Related Workers,3
832,"Car, Van and Motorcycle Drivers",3
833,Heavy Truck and Bus Drivers,3
834,Mobile Plant Operators,3
835,Ships’ Deck Crews and Related Workers,3
911,"Domestic, Hotel and Office Cleaners and Helpers",3
912,"Vehicle, Window, Laundry and Other Hand Cleaning Workers",3
921,"Agricultural, Forestry and Fishery Labourers",3
931,Mining and Construction Labourers,3
932,Manufacturing Labourers,3
933,Transport and Storage Labourers,3
941,Food Preparation Assistants,3
951,Street and Related Services Workers,3
952,Street Vendors (excluding Food),3
961,Refuse Workers,3
962,Other Elementary Workers,3
011,Commissioned Armed Forces Officers,3
021,Non-commissioned Armed Forces Officers,3
031,"Armed Forces Occupations, Other Ranks",3
1111,Legislators,4
1112,Senior Government Officials,4
1113,Traditional Chiefs and Heads of Villages,4
1114,Senior Officials of Special-interest Organizations,4
1120,Managing Directors and Chief Executives,4
1211,Finance Managers,4
